mpv 1:0.22.0-2
mtdev 1.1.5-1
nano 2.7.1-1
ncurses 6.0+20161112-1
neon 0.30.2-1
net-tools 1.60.20160710git-1
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
networkmanager 1.4.2-2
networkmanager-qt 5.28.0-1
nfs-utils 1.3.4-1
nfsidmap 0.26-1
nodejs 7.2.0-2
noto-fonts 20161003-1
npm 4.0.3-1
npth 1.3-1
nspr 4.13.1-1
nss 3.27.1-1
ntfs-3g 2016.2.22-1
ntp 4.2.8.p9-1
nvidia 375.20-3
nvidia-settings 375.20-1
nvidia-utils 375.20-3
ocl-icd 2.2.9-1
openal 1.17.2-2
opencl-nvidia 375.20-3
opencore-amr 0.1.3-2
opendesktop-fonts 1.4.2-3
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.1.2-1
openresolv 3.8.1-1
openslp 2.0.0-1
openssh 7.3p1-2
openssl 1.0.2.j-1
optipng 0.7.6-1
opus 1.1.3-2
orc 0.4.26-1
os-prober 1.71-1
oxygen 5.8.4-1
oxygen-icons 1:5.28.0-1
p11-kit 0.23.2-1
p7zip 16.02-2
pacaur 4.6.5-1
pacman 5.0.1-4
pacman-mirrorlist 20161203-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.3-1
pangomm 2.40.1-1
parted 3.2-5
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.2-1
pcmciautils 018-7
pcre 8.39-2
perl 5.24.0-2
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-ipc-system-simple 1.25-1
phonon-qt4 4.9.0-1
phonon-qt4-gstreamer 4.9.0-1
phonon-qt5 4.9.0-1
phonon-qt5-gstreamer 4.9.0-1
pinentry 1.0.0-1
pixman 0.34.0-1
pkgfile 15-1
plasma-desktop 5.8.4-1
plasma-framework 5.28.0-1
plasma-integration 5.8.4-1
plasma-mediacenter 5.7.5-1
plasma-meta 5.8-1
plasma-nm 5.8.4-1
plasma-pa 5.8.4-1
plasma-sdk 5.8.4-1
plasma-workspace 5.8.4-1
plasma-workspace-wallpapers 5.8.4-1
pm-quirks 0.20100619-4
pm-utils 1.4.1-6
podofo 0.9.4-1
polkit 0.113-4
polkit-kde-agent 5.8.4-1
polkit-qt4 0.112.0+git20160226-1
polkit-qt5 0.112.0+git20160226-1
poppler 0.49.0-1
poppler-qt4 0.49.0-1
poppler-qt5 0.49.0-1
popt 1.16-8
porntime 0.3.8-1
postgresql 9.6.1-3
postgresql-libs 9.6.1-3
powerdevil 5.8.4-1
ppp 2.4.7-2
presentproto 1.0-1
prison 5.28.git20161116-1
procps-ng 3.3.12-1
psmisc 22.21-3
pulseaudio 9.0-1
pulseaudio-gconf 9.0-1
purpose 1.1-2
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
